AirTemp,AlbedoDaily,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowDepth,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,ecoli
18.9,0.11,-20,0,15.6,0,0,0,0,0,0,27.5,81.2,0,975.3,196,1.5,109,130
19,0.11,-20,0,15.7,0,0,0,0,0,0,27.5,80.9,0,975.8,193,1.5,109,260
19,0.11,-20,0,15.7,0,0,0,0,0,0,27.5,80.9,0,975.8,193,1.5,109,390
18.4,0.11,-34,0,15.3,0,0,0,0,0,0,27.6,82.2,0,974.3,196,1.3,104,2
18.4,0.11,-34,0,15.3,0,0,0,0,0,0,27.6,82.2,0,974.3,196,1.3,104,50
20,0.11,-67,41.2,15.4,67,0,0,67,61,67,28.9,74.7,0,975.1,172,0.9,79,60
20.1,0.11,-67,40.9,15.4,68,0,0,68,61,68,28.9,74.5,0,975.6,169,0.9,79,260
20.1,0.11,-67,40.9,15.4,68,0,0,68,61,68,28.9,74.5,0,975.6,169,0.9,79,180
21.3,0.11,-77,19.7,15.7,168,124,47,216,172,310,29.2,70.4,0,974.4,172,0.9,69,0
21.3,0.11,-77,19.7,15.7,168,124,47,216,172,310,29.2,70.4,0,974.4,172,0.9,69,3
26.4,0.11,-112,0,14.8,172,702,550,722,658,817,30.7,48.8,0,975.8,214,1.7,38,40
26.4,0.11,-112,0,14.8,172,701,549,722,657,816,30.7,48.9,0,976.2,213,1.7,38,18
26.4,0.11,-112,0,14.8,172,701,549,722,657,816,30.7,48.9,0,976.2,213,1.7,38,100
27.8,0.11,-131,0,14.9,156,773,674,830,790,839,30.2,45.2,0,974.9,220,2,29,1
27.8,0.11,-131,0,14.9,156,773,674,830,790,839,30.2,45.2,0,974.9,220,2,29,6
30.2,0.11,135,0,16.7,151,790,696,847,811,845,27.3,44.2,0,975.1,224,2.7,28,10
30,0.11,115,0,16,145,764,611,756,698,843,27.3,42.8,0,975.4,222,2.8,37,65
30,0.11,115,0,16,145,764,611,756,698,843,27.3,42.8,0,975.4,222,2.8,37,80
30.2,0.11,135,0,16.6,150,792,698,848,812,847,27.3,43.9,0,974.3,224,2.6,28,2
30.2,0.11,135,0,16.6,150,792,698,848,812,847,27.3,43.9,0,974.3,224,2.6,28,60
27.9,0.11,79,0,16.1,94,538,206,300,171,636,27.2,48.9,0,974.9,215,2.3,68,130
27.9,0.11,79,0,16.2,94,536,206,300,171,635,27.2,48.8,0,975.3,214,2.3,68,100
27.9,0.11,79,0,16.2,94,536,206,300,171,635,27.2,48.8,0,975.3,214,2.3,68,130
26.6,0.11,69,0,17,61,347,77,137,45,269,27.1,55.4,0,974.2,211,1.8,78,5
26.6,0.11,69,0,17,61,347,77,137,45,269,27.1,55.4,0,974.2,211,1.8,78,5
22.5,0.11,36,0,17.6,0,0,0,0,0,0,27.3,73.9,0,975.9,195,1.5,103,85
22.6,0.11,36,0,17.6,0,0,0,0,0,0,27.4,73.7,0,976.4,193,1.5,103,130
22.6,0.11,36,0,17.6,0,0,0,0,0,0,27.4,73.7,0,976.4,193,1.5,103,260
21.4,0.11,23,0,17.6,0,0,0,0,0,0,27.4,79.3,0,975.3,196,1.7,108,7
21.4,0.11,23,0,17.6,0,0,0,0,0,0,27.4,79.3,0,975.3,196,1.7,108,10
20,0.11,-20,0,17.3,0,0,0,0,0,0,28.6,84.2,0,976,192,2.1,109,18
20.1,0.11,-20,0,17.3,0,0,0,0,0,0,28.7,83.9,0,976.5,191,2.1,109,350
20.1,0.11,-20,0,17.3,0,0,0,0,0,0,28.7,83.9,0,976.5,191,2.1,109,100
19.8,0.11,-21,0,17.2,0,0,0,0,0,0,28.5,84.9,0,975.2,195,2.1,109,3
19.8,0.11,-21,0,17.2,0,0,0,0,0,0,28.5,84.9,0,975.2,195,2.1,109,60
21.1,0.11,-67,32,16.4,77,4,1,78,70,80,27.7,74.6,0,976,185,1.3,80,100
21.2,0.11,-67,32.6,16.5,76,4,1,77,69,80,27.7,74.5,0,976.5,183,1.3,80,80
22.5,0.11,-77,15.8,17,160,167,62,222,168,347,27.9,71.1,0,976.8,184,1.1,70,100
22.4,0.11,-77,13,17,147,226,86,233,167,394,27.8,71.5,0,975.5,188,1.1,69,1
22.4,0.11,-77,13,17,147,226,86,233,167,394,27.8,71.5,0,975.5,188,1.1,69,30
27.6,0.11,-112,0,17.6,191,670,525,715,650,804,27.9,54.5,0,976.7,217,1.9,38,18
27.6,0.11,-112,0,17.7,192,667,523,714,649,803,27.9,54.6,0,977.1,216,1.9,38,5
27.6,0.11,-112,0,17.7,192,667,523,714,649,803,27.9,54.6,0,977.1,216,1.9,38,350
29,0.11,-131,2.7,17.7,208,688,598,806,760,808,27.9,50.4,0,975.8,221,2.2,29,5
